Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
7;Ouest-Sud;230000.0;75;16.0;1.0;14375
7;Ouest-Sud;168000.0;75;16.0;1.0;10500
7;Ouest-Sud;70000.0;75;8.0;1.0;8750
6;Ouest-Sud;300000.0;75;30.0;1.0;10000
5;Ouest-Sud;127000.0;75;9.0;1.0;14111
5;Ouest-Sud;125000.0;75;14.0;1.0;8929
7;Ouest-Sud;240000.0;75;29.0;1.0;8276
6;Ouest-Sud;146000.0;75;20.0;1.0;7300
5;Ouest-Sud;205000.0;75;16.0;1.0;12812
7;Ouest-Sud;420000.0;75;31.0;1.0;13548
7;Ouest-Sud;246890.0;75;23.0;1.0;10734
7;Ouest-Sud;428520.0;75;36.0;1.0;11903
7;Ouest-Sud;209000.0;75;13.0;1.0;16077
5;Ouest-Sud;320000.0;75;30.0;1.0;10667
5;Ouest-Sud;155000.0;75;16.0;1.0;9688
7;Ouest-Sud;230000.0;75;43.0;1.0;5349
6;Ouest-Sud;295000.0;75;27.0;1.0;10926
7;Ouest-Sud;356241.0;75;28.0;1.0;12723
7;Ouest-Sud;278400.0;75;20.0;1.0;13920
7;Ouest-Sud;170000.0;75;14.0;1.0;12143
6;Ouest-Sud;310000.0;75;27.0;1.0;11481
7;Ouest-Sud;320000.0;75;34.0;1.0;9412
5;Ouest-Sud;170000.0;75;20.0;1.0;8500
6;Ouest-Sud;251810.0;75;34.0;1.0;7406
5;Ouest-Sud;300000.0;75;23.0;1.0;13043
6;Ouest-Sud;595000.0;75;17.0;1.0;35000
5;Ouest-Sud;323500.0;75;28.0;1.0;11554
